 Total Nb of available Diagnostics: ndiagt=   239
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTVTEND| 30 |    97 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
    99 |TOTTTEND| 30 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TOTSTEND| 30 |       |SMR     MR|psu/day         |Tendency of Salinity
   101 |MoistCor| 30 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   102 |gT_Forc | 30 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   103 |gS_Forc | 30 |       |SMR     MR|psu/s           |Salinity forcing tendency
   104 |AB_gT   | 30 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   105 |AB_gS   | 30 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   106 |gTinAB  | 30 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   107 |gSinAB  | 30 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   108 |AB_gU   | 30 |   109 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   109 |AB_gV   | 30 |   108 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   110 |ADVr_TH | 30 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   111 |ADVx_TH | 30 |   112 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   112 |ADVy_TH | 30 |   111 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   113 |DFrE_TH | 30 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   114 |DFxE_TH | 30 |   115 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   115 |DFyE_TH | 30 |   114 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   116 |DFrI_TH | 30 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   117 |ADVr_SLT| 30 |       |WM      LR|psu.m^3/s       |Vertical   Advective Flux of Salinity
   118 |ADVx_SLT| 30 |   119 |UU      MR|psu.m^3/s       |Zonal      Advective Flux of Salinity
   119 |ADVy_SLT| 30 |   118 |VV      MR|psu.m^3/s       |Meridional Advective Flux of Salinity
   120 |DFrE_SLT| 30 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Explicit part)
   121 |DFxE_SLT| 30 |   122 |UU      MR|psu.m^3/s       |Zonal      Diffusive Flux of Salinity
   122 |DFyE_SLT| 30 |   121 |VV      MR|psu.m^3/s       |Meridional Diffusive Flux of Salinity
   123 |DFrI_SLT| 30 |       |WM      LR|psu.m^3/s       |Vertical Diffusive Flux of Salinity    (Implicit part)
   124 |SALTFILL| 30 |       |SM      MR|psu.m^3/s       |Filling of Negative Values of Salinity
   125 |VISCAHZ | 30 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   126 |VISCA4Z | 30 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   127 |VISCAHD | 30 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   128 |VISCA4D | 30 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   129 |VISCAHW | 30 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   130 |VISCA4W | 30 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   131 |VAHZMAX | 30 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   132 |VA4ZMAX | 30 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   133 |VAHDMAX | 30 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   134 |VA4DMAX | 30 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   135 |VAHZMIN | 30 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   136 |VA4ZMIN | 30 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   137 |VAHDMIN | 30 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   138 |VA4DMIN | 30 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   139 |VAHZLTH | 30 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   140 |VA4ZLTH | 30 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   141 |VAHDLTH | 30 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   142 |VA4DLTH | 30 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   143 |VAHZLTHD| 30 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   144 |VA4ZLTHD| 30 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   145 |VAHDLTHD| 30 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   146 |VA4DLTHD| 30 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   147 |VAHZSMAG| 30 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   148 |VA4ZSMAG| 30 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   149 |VAHDSMAG| 30 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   150 |VA4DSMAG| 30 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   151 |momKE   | 30 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   152 |momHDiv | 30 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   153 |momVort3| 30 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   154 |Strain  | 30 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   155 |Tension | 30 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   156 |UBotDrag| 30 |   157 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   157 |VBotDrag| 30 |   156 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   158 |USidDrag| 30 |   159 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   159 |VSidDrag| 30 |   158 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   160 |Um_Diss | 30 |   161 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   161 |Vm_Diss | 30 |   160 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   162 |Um_Advec| 30 |   163 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   163 |Vm_Advec| 30 |   162 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   164 |Um_Cori | 30 |   165 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   165 |Vm_Cori | 30 |   164 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   166 |Um_dPHdx| 30 |   167 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   167 |Vm_dPHdy| 30 |   166 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   168 |Um_Ext  | 30 |   169 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   169 |Vm_Ext  | 30 |   168 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   170 |Um_AdvZ3| 30 |   171 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   171 |Vm_AdvZ3| 30 |   170 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   172 |Um_AdvRe| 30 |   173 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   173 |Vm_AdvRe| 30 |   172 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   174 |ADVx_Um | 30 |   175 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   175 |ADVy_Um | 30 |   174 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   176 |ADVrE_Um| 30 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   177 |ADVx_Vm | 30 |   178 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   178 |ADVy_Vm | 30 |   177 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   179 |ADVrE_Vm| 30 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   180 |VISCx_Um| 30 |   181 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   181 |VISCy_Um| 30 |   180 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   182 |VISrE_Um| 30 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   183 |VISrI_Um| 30 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   184 |VISCx_Vm| 30 |   185 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   185 |VISCy_Vm| 30 |   184 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   186 |VISrE_Vm| 30 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   187 |VISrI_Vm| 30 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   188 |KPPviscA| 30 |       |SM P    LR|m^2/s           |KPP vertical eddy viscosity coefficient
   189 |KPPdiffS| 30 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for salt & tracers
   190 |KPPdiffT| 30 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for heat
   191 |KPPghatK| 30 |       |SM P    LR|0-1             |ratio of KPP non-local (salt) flux relative to surface-flux
   192 |KPPhbl  |  1 |       |SM P     1|m               |KPP boundary layer depth, bulk Ri criterion
   193 |KPPfrac |  1 |       |SM P     1|                |Short-wave flux fraction penetrating mixing layer
   194 |KPPdbsfc| 30 |       |SM P    UR|m/s^2           |Buoyancy difference with respect to surface
   195 |KPPbfsfc| 30 |       |SM P    UR|m^2/s^3         |Bo+radiation absorbed to d=hbf*hbl + plume
   196 |KPPRi   | 30 |       |SM P    UR|non-dimensional |Bulk Richardson number
   197 |KPPbo   |  1 |       |SM P     1|m^2/s^3         |Surface turbulent buoyancy forcing
   198 |KPPbosol|  1 |       |SM P     1|m^2/s^3         |surface radiative buoyancy forcing
   199 |KPPdbloc| 30 |       |SM P    UR|m/s^2           |Local delta buoyancy across interfaces
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |KPPnuddt| 30 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for heat
   201 |KPPnudds| 30 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for salt
   202 |KPPg_TH | 30 |       |WM      LR|degC.m^3/s      |KPP non-local Flux of Pot.Temperature
   203 |KPPg_SLT| 30 |       |WM      LR|psu.m^3/s       |KPP non-local Flux of Salinity
   204 |GM_VisbK|  1 |       |SM P    M1|m^2/s           |Mixing coefficient from Visbeck etal parameterization
   205 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   206 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   207 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   208 |SubMesLf|  1 |       |SM P    M1|m               |Sub-Meso horiz. Length Scale (Lf)
   209 |SubMpsiX|  1 |   210 |UU      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): U component
   210 |SubMpsiY|  1 |   209 |VV      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): V component
   211 |GM_Kux  | 30 |   212 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   212 |GM_Kvy  | 30 |   211 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   213 |GM_Kuz  | 30 |   214 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
   214 |GM_Kvz  | 30 |   213 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   215 |GM_Kwx  | 30 |   216 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   216 |GM_Kwy  | 30 |   215 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   217 |GM_Kwz  | 30 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   218 |GM_PsiX | 30 |   219 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   219 |GM_PsiY | 30 |   218 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   220 |GM_KuzTz| 30 |   221 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   221 |GM_KvzTz| 30 |   220 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   222 |GM_KwzTz| 30 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   223 |GM_ubT  | 30 |   224 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   224 |GM_vbT  | 30 |   223 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   225 |GM_BVPcW|  1 |   226 |SU P    M1|m/s             |WKB wave speed (at Western edge location)
   226 |GM_BVPcS|  1 |   225 |SV P    M1|m/s             |WKB wave speed (at Southern edge location)
   227 |LaUH1TH |150 |   228 |UU      MX|m.m/s           |Layer Integrated  zonal Transport (UH, m^2/s)
   228 |LaVH1TH |150 |   227 |VV      MX|m.m/s           |Layer Integrated merid. Transport (VH, m^2/s)
   229 |LaTr2RHO| 30 |       |SMR     MR|kg/m^3          |Pot. density (minus 1000) for layer averaging, ref_z= -1918.00,  25
   230 |LaUH2RHO|150 |   231 |UU      MX|m.m/s           |Layer Integrated  zonal Transport (UH, m^2/s)
   231 |LaVH2RHO|150 |   230 |VV      MX|m.m/s           |Layer Integrated merid. Transport (VH, m^2/s)
   232 |CPL_SLPr|  1 |       |SM      M1|Pa              |Atmos Sea-Level pressure anomaly (recv fr Coupler)
   233 |CPL_Qnet|  1 |       |SM      M1|W/m^2           |Net surface heat flux (+=up) (recv from Coupler)
   234 |CPL_Qsw |  1 |       |SM      M1|W/m^2           |Net shortwave heat flux (+=up)(recv from Coupler)
   235 |CPL_tauX|  1 |   236 |UM      M1|N/m^2           |Zonal  surface wind-stress (recv from Coupler)
   236 |CPL_tauY|  1 |   235 |UM      M1|N/m^2           |Merid. surface wind-stress (recv from Coupler)
   237 |CPL_FWat|  1 |       |SM      M1|kg/m^2/s        |Surface fresh-water flux (+=up)(recv from Coupler)
   238 |CPL_sFlx|  1 |       |SM      M1|g/m^2/s         |Salt flux from seaice comp (+=up)(recv fr Coupler)
   239 |CPL_iceM|  1 |       |SM      M1|kg/m^2          |Seaice mass       (recv from Coupler)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
